,portfolio_value,return,weight_AAPL,weight_AGG,weight_AMZN,weight_GLD,weight_GOOGL,weight_META,weight_MSFT,weight_SPY,weight_TLT,weight_XLE,weight_XLF,weight_XLK,weight_XLP,weight_XLV,cumulative_return,drawdown,position_change,transaction_cost,rolling_volatility,rolling_return,rolling_sharpe,year,month,rolling_var95,rolling_cvar95
2023-07-26,1.1462899075880197,-0.015918213110932,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.3999996,0.14628990758801974,-0.016394563653333562,5.9604645e-08,1.7881394e-10,,,,2023,7,,
2023-07-27,1.1151515303341537,-0.027164486965942314,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999986,0.4,-0.4,0.4,0.3999996,0.1151515303341537,-0.04311370070860263,2.9802322e-08,8.940697e-11,,,,2023,7,,
2023-07-28,1.1405414683597177,0.022768150636852003,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999986,0.4,-0.4,0.4,0.39999962,0.1405414683597177,-0.02132716930399629,2.9802322e-08,8.940697e-11,,,,2023,7,,
2023-07-31,1.1309287406875113,-0.008428214088551322,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999986,0.4,-0.4,0.4,0.39999962,0.13092874068751126,-0.0295756334437508,0.0,0.0,,,,2023,7,,
2023-08-01,1.1220363509669755,-0.00786290895315822,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.39999965,0.12203635096697552,-0.037205991883908794,5.9604645e-08,1.7881394e-10,,,,2023,8,,
2023-08-02,1.103358031652379,-0.01664680408838759,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.39999968,0.103358031652379,-0.053233435114490794,2.9802322e-08,8.940697e-11,,,,2023,8,,
2023-08-03,1.083284429668267,-0.01819318970656325,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.39999968,0.0832844296682671,-0.07045813883728404,0.0,0.0,,,,2023,8,,
2023-08-04,1.0356461179715482,-0.043975811330831394,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999992,0.4,-0.4,0.4,0.39999968,0.03564611797154815,-0.11133549634788546,2.9802322e-08,8.940697e-11,,,,2023,8,,
2023-08-07,1.032275004517286,-0.003255082402920606,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999992,0.4,-0.4,0.4,0.39999968,0.03227500451728593,-0.11422817253582362,0.0,0.0,,,,2023,8,,
2023-08-08,1.0343639828059241,0.002023664507516676,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999992,0.4,-0.4,0.4,0.39999965,0.03436398280592412,-0.11243566752682624,2.9802322e-08,8.940697e-11,,,,2023,8,,
